course_id,title,credits,year,primary_quarter,alternate_quarters,prerequisites,notes
RHIT 100,RH Success,1,Freshman,Fall,,,
MA 105,Calculus A,5,Freshman,Fall,,,Calculus ABC plan only
MA 106,Calculus B,4,Freshman,Winter,,MA 105,Calculus ABC plan only
MA 107,Calculus C,4,Freshman,Spring,,MA 106,Calculus ABC plan only
MA 111,Calculus I,5,Freshman,Fall,,,
MA 112,Calculus II,5,Freshman,Winter,,MA 111,
MA 113,Calculus III,5,Freshman,Spring; Summer,,MA 112,Required summer course in Calculus ABC plan
PH 111,Physics I,4,Freshman,Fall,,,
PH 112,Physics II,4,Freshman,Winter,,PH 111; MA 111,
EM 104,Graphical Communications,2,Freshman,Fall,,,
EM 121,Statics & Mechanics of Materials I,4,Freshman,Winter,Fall; Spring,MA 111 or MA 105,
EM 103,Introduction to Design,2,Freshman,Spring,,,
ME 123,Computer Programming,4,Freshman,Spring,Fall; Winter,,ME/PHOE major or permission of instructor
HUM H190,First-Year Writing Seminar,4,Freshman,Fall; Winter; Spring,,,HSSA requirement
CHEM 111,General Chemistry I,4,Freshman,Fall; Spring,,,
BIO 101,Essential Biology,4,Sophomore; Freshman,Fall; Winter; Spring,,,
MA 221,Matrix Algebra & Diff Eqns I,4,Sophomore,Fall,,MA 113,
MA 222,Matrix Algebra & Diff Eqns II,4,Sophomore,Fall; Winter,,MA 221,
MA 223,Engineering Statistics I,4,Sophomore,Spring; Fall,,MA 221,
ES 201,Conservation & Accounting Principles,4,Sophomore,Fall,Winter,PH 111; EM 121; MA 113,Grade of C or better required for ES 312
ES 213,Electrical Systems,4,Sophomore,Fall,Winter; Spring,PH 112; MA 113; EM 121,
ES 214,Mechanical Systems,4,Sophomore,Winter,Spring,ME 123; MA 221; ES 201,
EM 204,Statics & Mechanics of Materials II,4,Junior,Fall,Winter; Spring,EM 121,
ME 201,Applications of Thermodynamics,4,Sophomore,Winter,Spring,ES 201,Grade of C or better required in prerequisite
ME 227,Numerical Methods,4,Sophomore,Spring,Fall,ME 123; MA 222,
ME 230,Mechatronic Systems,4,Sophomore,Spring,Fall,ME 123; ES 213,
ES 305,System Dynamics,4,Junior,Fall,Winter,MA 222; ES 213; ES 214,
ES 205,Analysis & Design of Engineering Systems,4,Junior,Fall,Winter,MA 222; ES 213; ES 214,Calculus ABC plan equivalent to ES 305
ES 312,Fluid Systems,4,Junior,Fall,Winter,ES 201,Grade of C or better required in ES 201
ME 317,Design for Manufacturing,4,Junior,Winter,Fall,EM 104,
ME 302,Heat Transfer,4,Junior,Spring,Fall,MA 221; ES 312,
EM 306,Vibration Analysis,4,Junior,Winter,Spring,ES 305,Take EM 306 OR ME 306
ME 306,Control Systems,4,Junior,Winter,Spring,ES 305,Take EM 306 OR ME 306
ME 321,Measurement Systems,4,Junior,Winter,Fall; Spring,EM 103; MA 223; ES 201,
ME 328,Materials Engineering,4,Junior,Winter,Spring,CHEM 111,
ENGL H290,Tech and Prof Communication,4,Junior,Winter,Spring,,HSSA requirement; prereq for ME 421
ME 380,Machine Component Design,4,Junior,Spring,Fall,EM 204,
ME 421,ME Lab,2,Senior,Fall,Winter,ME 321; ENGL H290,
ME 470,Capstone Design I,4,Senior,Fall,Spring,ME 230; ME 302; ME 321; ME 380,
ME 471,Capstone Design II,4,Senior,Winter,Fall,ME 470,
ME 472,Capstone Design III,4,Senior,Spring,Winter,ME 471,
